epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2579.55,1.04031,1.63772,1.09459,0.86122,0.76505,0.83004,0.48451,1.45209,2.78111,1.33279,0.000828443,0.000828443,0.000828443
43,2640.99,1.0291,1.61818,1.09024,0.86251,0.79031,0.84883,0.48857,1.45013,2.72884,1.33746,0.000820525,0.000820525,0.000820525
44,2702.67,1.02492,1.60981,1.08878,0.86459,0.77399,0.83973,0.48621,1.46253,2.64299,1.33636,0.000812468,0.000812468,0.000812468
45,2764.41,1.01994,1.59008,1.08118,0.86901,0.7747,0.83358,0.46629,1.48665,2.78132,1.36088,0.000804277,0.000804277,0.000804277
46,2825.63,1.01299,1.58461,1.07616,0.83901,0.79069,0.8441,0.47335,1.50285,2.71964,1.35649,0.000795954,0.000795954,0.000795954
47,2887.15,1.00922,1.57349,1.0752,0.86237,0.77765,0.84289,0.47892,1.4778,2.66354,1.34624,0.000787503,0.000787503,0.000787503
48,2948.79,1.00209,1.55542,1.07242,0.8859,0.76865,0.84265,0.48322,1.46718,2.67167,1.35803,0.000778929,0.000778929,0.000778929
49,3010.82,0.99448,1.54713,1.06865,0.87005,0.762,0.84482,0.48017,1.48792,2.68923,1.36166,0.000770234,0.000770234,0.000770234
50,3072.37,0.99327,1.54641,1.06378,0.89574,0.75385,0.83275,0.47678,1.48541,2.67825,1.36507,0.000761423,0.000761423,0.000761423
51,3134.34,0.99055,1.53108,1.06087,0.86748,0.75555,0.82386,0.47803,1.47641,2.785,1.35201,0.0007525,0.0007525,0.0007525
52,3196.08,0.98114,1.50135,1.0568,0.89138,0.74279,0.82474,0.47891,1.45592,2.8118,1.3379,0.000743468,0.000743468,0.000743468
53,3259,0.97719,1.50884,1.05949,0.89314,0.74041,0.82634,0.4723,1.48165,2.76035,1.3536,0.000734332,0.000734332,0.000734332
54,3321.3,0.97188,1.49867,1.056,0.8845,0.73909,0.8249,0.47653,1.45638,2.67474,1.34003,0.000725094,0.000725094,0.000725094
55,3386.3,0.96698,1.48572,1.05096,0.84902,0.77929,0.8282,0.47754,1.46127,2.6589,1.33797,0.000715761,0.000715761,0.000715761
56,3450.99,0.96592,1.48635,1.05086,0.8863,0.74066,0.82317,0.47365,1.47174,2.79443,1.35688,0.000706335,0.000706335,0.000706335
